City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
103,Ixtapa,MX,72.63,clear sky,20.7,-105.2,No hotel found
106,Banyo,CM,62.89,broken clouds,6.75,11.8167,No hotel found
107,Maues,BR,74.77,overcast clouds,-3.3836,-57.7186,No hotel found
108,Hamilton,US,61.84,clear sky,39.1834,-84.5333,North Vista Manor
111,Bethel,US,60.89,clear sky,41.3712,-73.414,Hampton Inn Danbury
112,Castro,BR,62.82,overcast clouds,-24.7911,-50.0119,Buganville Express
114,Emerald,AU,85.33,overcast clouds,-23.5333,148.1667,Emerald Central Hotel
116,Inhambane,MZ,77.94,clear sky,-23.865,35.3833,Casa Jensen
119,Ahipara,NZ,68.9,few clouds,-35.1667,173.1667,YHA Ahipara
121,Tateyama,JP,41.76,few clouds,34.9833,139.8667,森羅
122,Bowen,AU,75.9,overcast clouds,-20.0167,148.2333,Whitsunday Sands Resort
125,Codrington,AU,94.17,overcast clouds,-38.2667,141.9667,No hotel found
128,Croy,CH,43.12,overcast clouds,46.6946,6.4772,Le Saint-Romain
131,Pafos,CY,46.18,broken clouds,34.7667,32.4167,Almyra
132,Butaritari,KI,81.32,broken clouds,3.0707,172.7902,No hotel found
133,Tura,IN,66.24,clear sky,25.5198,90.2201,No hotel found
134,Taree,AU,85.06,clear sky,-31.9,152.4667,No hotel found
135,Avera,US,59.92,overcast clouds,33.194,-82.5271,No hotel found
136,Dehloran,IR,49.17,few clouds,32.6941,47.2679,No hotel found
137,Gorontalo,ID,87.21,overcast clouds,0.5412,123.0595,Harry & Mimin Homestay
138,Gambela,ET,79.57,scattered clouds,8.25,34.5833,Hotel Ethiopia
139,Lata,PT,43.07,clear sky,40.1629,-8.3327,No hotel found
140,Bubaque,GW,74.57,scattered clouds,11.2833,-15.8333,Casa Dora
141,Chuy,UY,65.7,clear sky,-33.6971,-53.4616,Bertelli Chuí Hotel
142,Camacha,PT,56.62,few clouds,33.0833,-16.3333,Praia Dourada
144,Gat,IL,48.88,broken clouds,31.61,34.7642,No hotel found
145,Muroto,JP,42.21,clear sky,33.2833,134.15,岬観光ホテル
146,Samarai,PG,84.78,scattered clouds,-10.6167,150.6667,No hotel found
149,Kokstad,ZA,57.9,light rain,-30.5472,29.4241,Rest assured guest house kokstad
150,Acajutla,SV,77.34,clear sky,13.5928,-89.8275,Restaurante y Hostal Kilo 5
151,Nchelenge,ZM,69.39,light rain,-9.3451,28.734,No hotel found
152,Lorengau,PG,82.53,light rain,-2.0226,147.2712,Seeadler Bay Hotel
153,Katsuura,JP,42.82,scattered clouds,35.1333,140.3,旅館松の家
156,Port Blair,IN,80.64,haze,11.6667,92.75,Hornbill Nest resort
157,Pisco,PE,73.45,mist,-13.7,-76.2167,Gran Hotel Chincha
158,Marawi,PH,74.05,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
159,Ponta Delgada,PT,56.12,broken clouds,37.7333,-25.6667,Casa do Mercado
163,Upata,VE,73.18,broken clouds,8.0086,-62.3989,Hotel Pellegrino
166,Buraydah,SA,48.65,overcast clouds,26.326,43.975,السلمان
167,Bousso,TD,69.73,clear sky,10.4795,16.7117,No hotel found
168,Barddhaman,IN,65.07,clear sky,23.25,87.85,RJ
169,Cayenne,GF,77.04,broken clouds,4.9333,-52.3333,Central Hôtel
170,Pineville,US,73.29,overcast clouds,31.3224,-92.4343,Holiday Inn Alexandria - Downtown
172,Cidreira,BR,74.34,few clouds,-30.1811,-50.2056,Hotel Castelo
173,Bluff,NZ,58.8,overcast clouds,-46.6,168.3333,No hotel found
176,Hilo,US,72.63,light rain,19.7297,-155.09,Dolphin Bay Hotel
177,Belle Glade,US,72.05,clear sky,26.6845,-80.6676,No hotel found
178,Coquimbo,CL,60.53,few clouds,-29.9533,-71.3436,Hotel Liverpool
182,Isangel,VU,80.51,overcast clouds,-19.55,169.2667,Tanna Lodge
183,Lompoc,US,51.01,clear sky,34.6391,-120.4579,Embassy Suites by Hilton Lompoc Central Coast
184,Paragominas,BR,73.11,overcast clouds,-2.9667,-47.4833,No hotel found
186,Nantucket,US,49.14,clear sky,41.2835,-70.0995,No hotel found
187,Saint-Joseph,RE,70.18,scattered clouds,-21.3667,55.6167,No hotel found
188,Yambio,SS,68.27,overcast clouds,4.5721,28.3955,Kabash Inn
189,Port Lincoln,AU,90.61,clear sky,-34.7333,135.8667,Grand Tasman
192,Saldanha,ZA,64.45,clear sky,-33.0117,17.9442,Hoedjesbaai
194,Bengkulu,ID,78.58,overcast clouds,-3.8004,102.2655,Hotel Andalas Permai
195,Ferrol,ES,50.34,overcast clouds,43.4832,-8.2369,Casa Juanito
196,Mount Pleasant,US,65.12,overcast clouds,32.7941,-79.8626,The Cottages on Charleston Harbor
197,Tres Arroyos,AR,55.65,clear sky,-38.3739,-60.2798,Andrea Hotel
198,Grants Pass,US,45.91,clear sky,42.439,-123.3284,La Quinta Inn
200,Doha,QA,66.18,broken clouds,25.2867,51.5333,Crowne Plaza Doha - The Business Park
201,Lamu,KE,75.7,broken clouds,-2.2717,40.902,Kijani hotel
202,Indramayu,ID,79.72,overcast clouds,-6.3264,108.32,No hotel found
203,Cururupu,BR,75.29,moderate rain,-1.8283,-44.8683,No hotel found
204,Kaitangata,NZ,60.55,overcast clouds,-46.2817,169.8464,No hotel found
206,Gondar,ET,57.29,clear sky,12.6,37.4667,Taye Belay Hotel
208,Tuatapere,NZ,66.52,overcast clouds,-46.1333,167.6833,No hotel found
209,Mahebourg,MU,74.25,light intensity shower rain,-20.4081,57.7,Preskil Island Resort
210,Bell Ville,AR,74.66,light rain,-32.6259,-62.6887,Hotel Italia
211,Byron Bay,AU,79.95,clear sky,-28.65,153.6167,Breakfree Eco Beach
213,Fortuna,US,45.66,clear sky,40.5982,-124.1573,Comfort Inn & Suites Redwood Country
214,Imbituba,BR,73.42,overcast clouds,-28.24,-48.6703,Hotel Recanto
215,Sao Simao,BR,70.25,moderate rain,-21.4792,-47.5508,No hotel found
216,Geraldton,AU,77.41,scattered clouds,-28.7667,114.6,Ocean Centre Hotel
217,Mar Del Plata,AR,67.08,clear sky,-38.0023,-57.5575,Hotel Valles. Mar del Plata
219,Beni Suef,EG,48.31,few clouds,29.0731,31.0979,قاعة المؤتمرات
220,Saint-Raymond,CA,52.14,overcast clouds,45.467,-73.6095,Marriott Château Champlain
224,Bahia Honda,CU,70.5,clear sky,22.9036,-83.1592,No hotel found
225,Kariba,ZW,70.57,overcast clouds,-16.5167,28.8,Lake View Hotel
226,Kruisfontein,ZA,64.18,broken clouds,-34.0033,24.7314,No hotel found
227,Todos Santos,MX,63.66,overcast clouds,23.45,-110.2167,Guaycura Boutique Hotel Beach Club & Spa
231,Mount Isa,AU,80.37,overcast clouds,-20.7333,139.5,Ibis Styles
232,Pitimbu,BR,81.19,broken clouds,-7.4706,-34.8086,Pitimbu Mar Hotel
233,Las Margaritas,MX,59.02,clear sky,16.3167,-91.9833,No hotel found
234,Porto Real,BR,71.83,light rain,-22.4197,-44.2903,HOTEL PORTO REAL
235,Westerly,US,52.25,clear sky,41.3776,-71.8273,No hotel found
236,Hokitika,NZ,70.34,clear sky,-42.7167,170.9667,Beachfront Hotel
237,Rincon,US,62.85,clear sky,32.296,-81.2354,No hotel found
238,Ancud,CL,49.66,few clouds,-41.8697,-73.8203,Hostería Ancud
239,Itarema,BR,77.95,overcast clouds,-2.9248,-39.9167,Barraca Do Kite
240,San Nicolas,PH,82.31,few clouds,18.1725,120.5953,Java Hotel
241,Burewala,PK,61.03,overcast clouds,30.1667,72.65,No hotel found
242,Arlit,NE,58.95,overcast clouds,18.7369,7.3853,No hotel found
244,Qeshm,IR,60.69,few clouds,26.9581,56.2719,هتل مارینا یک
245,Menongue,AO,61.92,broken clouds,-14.6585,17.691,No hotel found
246,Port Hedland,AU,98.65,few clouds,-20.3167,118.5667,Hospitality Port Hedland
249,Launceston,AU,77.61,overcast clouds,-41.45,147.1667,Launceston Central Apartment Hotel
252,Chai Badan,TH,75.85,few clouds,15.2,101.1333,โรงแรม ต้นปาล์มอินน์
253,Yulara,AU,98.13,clear sky,-25.2406,130.9889,Voyages Sails in the Desert
254,Puerto Del Rosario,ES,55.15,clear sky,28.5004,-13.8627,Hotel Tamasite
255,San Cristobal,VE,69.98,broken clouds,7.7669,-72.225,Nevada Suites
258,Auki,SB,85.41,overcast clouds,-8.7676,160.7034,No hotel found
259,Hobyo,SO,76.37,broken clouds,5.3505,48.5268,No hotel found
260,Uthal,PK,70.05,overcast clouds,25.8072,66.6219,No hotel found
262,Moussoro,TD,61.84,clear sky,13.6408,16.4901,No hotel found
263,Colborne,CA,47.91,broken clouds,44.0001,-77.8828,No hotel found
264,Beloha,MG,72.07,clear sky,-25.1667,45.05,No hotel found
266,Nimbahera,IN,62.33,clear sky,24.6167,74.6833,No hotel found
267,Labuhan,ID,80.19,overcast clouds,-6.8844,112.2051,No hotel found
268,Luau,AO,64.02,overcast clouds,-10.7073,22.2247,No hotel found
270,Springbok,ZA,54.43,scattered clouds,-29.6643,17.8865,Hotel Springbok Inn
271,Singkawang,ID,81.95,broken clouds,0.9,109.0,Hotel Hong Kong Inn
272,Killybegs,IE,45.73,overcast clouds,54.6333,-8.45,Bay View Hotel
273,Eyl,SO,73.31,broken clouds,7.9803,49.8164,فندق ايل دابي
275,Faya,SA,55.51,few clouds,18.3851,42.4509,No hotel found
277,Port Shepstone,ZA,77.13,light rain,-30.7414,30.455,The Spot Backpackers'
279,Barinas,VE,78.76,overcast clouds,8.6226,-70.2075,Hotel Alto Llano
281,Ardea,IT,51.64,clear sky,41.6123,12.5143,Albergo Italia
282,East London,ZA,72.59,light rain,-33.0153,27.9116,Premier Hotel Regent
283,Airai,TL,66.45,overcast clouds,-8.9266,125.4092,No hotel found
286,Knysna,ZA,67.75,overcast clouds,-34.0363,23.0471,Knysna Hollow Country Estate
288,Touros,BR,80.02,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
289,Sola,VU,78.37,overcast clouds,-13.8833,167.55,No hotel found
290,Mastic Beach,US,55.78,clear sky,40.7668,-72.8521,No hotel found
292,Agucadoura,PT,53.24,few clouds,41.4318,-8.7804,Axis Vermar Conference & Beach Hotel
293,Diapaga,BF,69.22,broken clouds,12.0708,1.7889,Le Gacilien
296,Namwala,ZM,65.57,overcast clouds,-15.7504,26.4384,No hotel found
298,Buala,SB,84.65,light rain,-8.145,159.5921,No hotel found
299,Teresa,PH,85.28,broken clouds,14.5833,121.2333,garcia farm
300,Agnibilekrou,CI,73.29,overcast clouds,7.1344,-3.2047,No hotel found
301,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Clifton Hall Great House
302,Poum,NC,79.41,overcast clouds,-20.2333,164.0167,No hotel found
303,Namibe,AO,73.31,overcast clouds,-15.1961,12.1522,IKA Hotel Namibe
305,Nouna,BF,75.22,clear sky,12.7333,-3.8667,No hotel found
306,Foligno,IT,43.0,clear sky,42.944,12.7011,Hotel della Torre
310,Carnarvon,AU,77.67,clear sky,-24.8667,113.6333,No hotel found
311,Banda Aceh,ID,80.35,scattered clouds,5.5577,95.3222,The Pade Hotel
312,Lagoa,PT,58.08,broken clouds,39.05,-27.9833,Hotel Ilha Graciosa
314,Elat,IL,50.68,clear sky,29.5581,34.9482,VERT Hotel Eilat
315,Najran,SA,70.45,clear sky,17.4924,44.1277,No hotel found
316,Sterling,US,65.17,few clouds,39.0062,-77.4286,Country Inn & Suites
317,Puerto Carreno,CO,81.63,overcast clouds,6.189,-67.4859,Mango Hotel
318,San Quintin,MX,54.79,clear sky,30.4833,-115.95,Jardines Hotel
319,Cabo San Lucas,MX,67.51,overcast clouds,22.8909,-109.9124,Waldorf Astoria Los Cabos Pedregal
321,Sur,OM,72.82,clear sky,22.5667,59.5289,Resort Sur Beach Hotel
322,Fomboni,KM,81.95,broken clouds,-12.28,43.7425,Auberge les Abou
323,Laguna,US,52.09,clear sky,38.421,-121.4238,TownePlace Suites Sacramento Elk Grove
324,Cacule,BR,71.46,overcast clouds,-14.5033,-42.2222,Hotel Alvorada
325,Kavaratti,IN,79.88,scattered clouds,10.5669,72.642,No hotel found
326,Tadine,NC,79.09,overcast clouds,-21.55,167.8833,No hotel found
327,Concepcion Del Oro,MX,57.04,clear sky,24.6333,-101.4167,No hotel found
329,Xianyang,CN,40.24,mist,34.3378,108.7026,如家精选酒店(西安沣西港沣国际店)
330,Ariquemes,BR,74.07,overcast clouds,-9.9133,-63.0408,Hotel Plaza
331,Inongo,CD,75.09,overcast clouds,-1.95,18.2667,Chez LELE IYOLO
332,Patrasaer,IN,64.71,clear sky,23.2167,87.5167,No hotel found
334,Muros,ES,48.16,overcast clouds,42.7762,-9.0603,"Casa Rural A Xacobeira, Louro, Muros"
335,Potosi,BO,43.57,overcast clouds,-19.5836,-65.7531,Hotel Santa Teresa
337,Innisfail,AU,76.55,light rain,-17.5333,146.0333,No hotel found
338,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,Hotel del Magisterio
339,Makakilo City,US,77.32,heavy intensity rain,21.3469,-158.0858,Four Seasons O'ahu at Ko Olina
340,San Carlos De Bariloche,AR,49.75,clear sky,-41.1456,-71.3082,Mirando al Sur
341,Esperance,AU,70.23,scattered clouds,-33.8667,121.9,Hospitality
342,Rapar,IN,68.22,clear sky,23.5667,70.6333,No hotel found
344,Arica,CL,76.55,overcast clouds,-18.475,-70.3042,Le Petit Clos
345,Morant Bay,JM,78.42,clear sky,17.8815,-76.4093,Golden Shore Resort
346,Naze,JP,61.72,broken clouds,28.3667,129.4833,ホテルウエストコート奄美Ⅰ
349,Dingle,PH,79.43,scattered clouds,10.9995,122.6711,No hotel found
350,Narnaul,IN,59.29,clear sky,28.0444,76.1083,No hotel found
352,Montes Altos,BR,72.43,overcast clouds,-5.8333,-47.0667,No hotel found
353,Okato,NZ,65.17,overcast clouds,-39.2,173.8833,Stony River Boutique Hotel
357,Finschhafen,PG,82.29,overcast clouds,-6.6024,147.8681,No hotel found
358,Caluquembe,AO,54.75,broken clouds,-13.7833,14.6833,No hotel found
359,Klaksvik,FO,40.12,scattered clouds,62.2266,-6.589,Hotel Klaksvik
360,Biloela,AU,87.04,overcast clouds,-24.4167,150.5,No hotel found
361,Souillac,MU,73.78,light intensity shower rain,-20.5167,57.5167,Hotel SkylineInn
362,Chibombo,ZM,64.49,moderate rain,-14.6569,28.0706,No hotel found
364,Flinders,AU,85.17,overcast clouds,-34.5833,150.8552,No hotel found
365,Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Natural Bungalows
366,Sao Joao Da Barra,BR,73.13,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
367,Aswan,EG,49.3,clear sky,24.0934,32.907,Mövenpick Resort Aswan
368,Marsaxlokk,MT,43.41,few clouds,35.8419,14.5431,Harbour Lodge
373,Kieta,PG,84.97,scattered clouds,-6.2167,155.6333,No hotel found
374,Shaowu,CN,50.61,clear sky,27.3409,117.4831,Jinqiu Hotel
375,Pinheiro Machado,BR,63.05,clear sky,-31.5783,-53.3811,No hotel found
376,Tabou,CI,79.92,overcast clouds,4.423,-7.3528,hôtel le rochet
378,Saint-Philippe,RE,71.19,broken clouds,-21.3585,55.7679,Le Baril
379,Kaeo,NZ,70.92,scattered clouds,-35.1,173.7833,No hotel found
382,Poso,ID,84.06,overcast clouds,-1.3959,120.7524,Natuna Hotel
385,Mananjary,MG,73.09,light rain,-21.2167,48.3333,Jardin de la Mer
387,Damaturu,NG,60.21,few clouds,11.747,11.9608,No hotel found
388,Kulim,MY,83.73,overcast clouds,5.365,100.5618,Hotel Seri Malaysia
389,Pacific Grove,US,53.24,clear sky,36.6177,-121.9166,InterContinental The Clement Monterey Hotel
390,Omboue,GA,75.11,overcast clouds,-1.5746,9.2618,Olako
393,Oron,NG,77.52,few clouds,4.8256,8.2343,No hotel found
395,Diffa,NE,63.18,few clouds,13.3154,12.6113,Hôtel 18
396,Malakal,SS,72.27,overcast clouds,9.5334,31.6605,No hotel found
397,Clarence Town,AU,85.6,clear sky,-32.5833,151.7833,Erringhi Hotel
399,Manjeshwar,IN,72.55,few clouds,12.7194,74.8861,No hotel found
400,Winder,US,55.33,mist,33.9926,-83.7202,Quality Inn
401,Nova Olimpia,BR,75.7,overcast clouds,-14.7972,-57.2881,Hotel Palace II
402,Coos Bay,US,46.38,clear sky,43.3665,-124.2179,Edgewater Inn
403,Kaihua,CN,50.77,overcast clouds,23.3687,104.28,No hotel found
404,Havelock,US,63.99,overcast clouds,34.8791,-76.9013,Days Inn by Wyndham Havelock
405,Port Macquarie,AU,80.89,clear sky,-31.4333,152.9167,ibis Styles Port Macquarie
406,Miri,MY,84.34,scattered clouds,4.4148,114.0089,Imperial Hotel Miri
408,Basco,PH,70.36,overcast clouds,20.4487,121.9702,Shanedels Inn and Cafe
409,Soure,BR,77.04,overcast clouds,-0.7167,-48.5233,Fazenda São Gerônimo
411,Ruwi,OM,67.69,scattered clouds,23.5996,58.5507,Al Falaj Hotel
412,Talcahuano,CL,60.48,clear sky,-36.7167,-73.1167,Club Recreativo Armada de Chile
413,Riyadh,SA,53.74,overcast clouds,24.6877,46.7219,Hilton Garden Inn Riyadh Olaya
414,Vila Franca Do Campo,PT,55.81,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
416,Lakes Entrance,AU,95.16,overcast clouds,-37.8811,147.981,Central Hotel
417,Herat,AF,61.66,overcast clouds,34.5,62.0,No hotel found
418,Aberdeen,GB,43.48,broken clouds,57.1437,-2.0981,Sandman Signature Aberdeen Hotel
421,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Hotel
422,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Hostess Hotel
423,Trairi,BR,76.82,overcast clouds,-3.2778,-39.2689,No hotel found
425,Grand Gaube,MU,74.37,clear sky,-20.0064,57.6608,Hotel Lux- Grand Gaube
426,Margate,GB,48.69,overcast clouds,51.3813,1.3862,The Yarrow Hotel
427,Russell,US,70.88,overcast clouds,32.3502,-85.1999,No hotel found
428,Richards Bay,ZA,74.7,overcast clouds,-28.783,32.0377,Protea Hotel
429,Vao,NC,75.38,broken clouds,-22.6667,167.4833,Nataiwatch
430,Katherine,AU,91.72,broken clouds,-14.4667,132.2667,Knott's Crossing Resort
431,Alofi,NU,82.29,light rain,-19.0595,-169.9187,No hotel found
432,Gitarama,RW,62.06,overcast clouds,-2.0744,29.7567,No hotel found
433,Barentu,ER,61.11,few clouds,15.1139,37.5928,Family Unite توحيد الأسرة
434,Khanpur,PK,64.09,clear sky,28.6453,70.6567,Lavish Hotel
435,Hasaki,JP,43.29,scattered clouds,35.7333,140.8333,犬吠埼温泉　ぎょうけい館
437,Powell,US,59.04,clear sky,40.1578,-83.0752,Nationwide Hotel and Conference Center
439,Nouadhibou,MR,62.58,sand,20.931,-17.0347,السلام
440,Morros,BR,75.49,broken clouds,-9.4467,-46.3003,No hotel found
441,Ohara,JP,42.22,scattered clouds,35.25,140.3833,No hotel found
442,Comodoro Rivadavia,AR,53.46,scattered clouds,-45.8667,-67.5,Wam Hotel
443,Bodden Town,KY,79.0,clear sky,19.2833,-81.25,Turtle Nest Inn
444,Pilar,BR,76.93,overcast clouds,-9.5972,-35.9567,No hotel found
447,Tutoia,BR,79.81,overcast clouds,-2.7619,-42.2744,Baluarte
449,Malanje,AO,62.37,overcast clouds,-9.5402,16.341,Hotel Palanca
450,Morro Bay,US,51.22,clear sky,35.3658,-120.8499,Inn at Morro Bay
451,Taperoa,BR,73.54,overcast clouds,-7.2075,-36.8267,Hotel Pedra do Reino
452,Valguarnera Caropepe,IT,40.8,clear sky,37.4955,14.3888,No hotel found
456,Morehead,US,61.0,clear sky,37.2711,-87.1764,No hotel found
457,Danielskuil,ZA,67.6,overcast clouds,-28.1887,23.5395,No hotel found
458,Acarau,BR,78.01,overcast clouds,-2.8856,-40.12,No hotel found
