City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Lebu,CL,-37.6167,-73.65,57.54,81,0,21.5,clear sky
80,Havre,FR,49.5833,0.3333,49.77,81,0,9.22,clear sky
81,Gweta,BW,-20.1833,25.2333,72.07,86,100,9.33,moderate rain
82,Arraial Do Cabo,BR,-22.9661,-42.0278,75.99,93,100,15.52,overcast clouds
83,Port Elizabeth,ZA,-33.918,25.5701,68.67,84,94,5.79,overcast clouds
84,Allonnes,FR,47.9674,0.1581,39.24,93,68,0.0,broken clouds
85,Thompson,CA,55.7435,-97.8558,-21.68,98,100,4.16,overcast clouds
86,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,71,50,11.95,scattered clouds
87,Sharjah,AE,25.3573,55.4033,76.98,20,0,11.5,clear sky
88,Chaozhou,CN,23.6651,116.6379,56.68,64,50,3.15,scattered clouds
89,Springdale,US,36.1867,-94.1288,64.04,58,0,5.75,clear sky
90,Yei,SS,4.095,30.6779,68.65,34,73,1.41,broken clouds
91,Vagur,FO,61.4732,-6.8119,42.15,67,79,31.99,light rain
92,Asfi,MA,32.2994,-9.2372,51.87,73,100,7.11,overcast clouds
93,Tessalit,ML,20.1986,1.0114,64.08,19,100,15.97,overcast clouds
94,Guerrero Negro,MX,27.9769,-114.0611,56.82,55,100,14.65,overcast clouds
95,Honiara,SB,-9.4333,159.95,86.25,70,98,5.7,overcast clouds
96,Chandler,US,33.3062,-111.8412,50.59,32,0,6.91,clear sky
97,Coihaique,CL,-45.5752,-72.0662,46.35,53,0,3.44,clear sky
98,Willowmore,ZA,-33.2926,23.4895,61.27,87,30,8.34,scattered clouds
99,Conway,US,35.0887,-92.4421,67.95,87,100,10.36,overcast clouds
100,Champerico,GT,14.3,-91.9167,77.88,76,0,5.21,clear sky
101,Manono,CD,-7.3,27.4167,70.0,96,100,1.63,light rain
102,Bredasdorp,ZA,-34.5322,20.0403,66.88,85,46,14.79,light rain
103,Ixtapa,MX,20.7,-105.2,72.63,68,0,10.36,clear sky
104,Nikolskoye,RU,59.7035,30.7861,32.81,96,100,6.22,overcast clouds
105,Khuzhir,RU,53.1939,107.3397,8.56,81,100,4.14,overcast clouds
106,Banyo,CM,6.75,11.8167,62.89,31,55,2.26,broken clouds
107,Maues,BR,-3.3836,-57.7186,74.77,97,100,1.21,overcast clouds
108,Hamilton,US,39.1834,-84.5333,61.84,64,0,9.22,clear sky
109,Cherskiy,RU,68.75,161.3,-36.4,96,67,3.18,broken clouds
110,Anchorage,US,61.2181,-149.9003,26.65,85,75,4.61,broken clouds
111,Bethel,US,41.3712,-73.414,60.89,68,0,12.66,clear sky
112,Castro,BR,-24.7911,-50.0119,62.82,98,100,3.09,overcast clouds
113,Tuktoyaktuk,CA,69.4541,-133.0374,-26.68,98,20,7.23,few clouds
114,Emerald,AU,-23.5333,148.1667,85.33,56,100,14.07,overcast clouds
115,Dodge City,US,37.7528,-100.0171,25.25,87,100,17.27,snow
116,Inhambane,MZ,-23.865,35.3833,77.94,85,2,8.57,clear sky
117,Glenwood Springs,US,39.5505,-107.3248,18.41,80,100,10.36,light snow
118,Barrow,US,71.2906,-156.7887,-16.58,76,100,8.05,overcast clouds
119,Ahipara,NZ,-35.1667,173.1667,68.9,78,24,9.33,few clouds
120,Narsaq,GL,60.9167,-46.05,-3.78,66,100,6.8,overcast clouds
121,Tateyama,JP,34.9833,139.8667,41.76,46,21,10.04,few clouds
122,Bowen,AU,-20.0167,148.2333,75.9,86,100,14.74,overcast clouds
123,Lavrentiya,RU,65.5833,-171.0,-20.13,93,12,4.47,few clouds
124,Vidosi,BA,43.7714,17.0283,37.76,72,0,3.24,clear sky
125,Codrington,AU,-38.2667,141.9667,94.17,17,99,9.55,overcast clouds
126,Ozernovskiy,RU,51.5,156.5167,27.99,63,100,6.91,overcast clouds
127,Asau,RO,46.4333,26.4,31.12,92,37,5.12,scattered clouds
128,Croy,CH,46.6946,6.4772,43.12,49,100,3.02,overcast clouds
129,Iqaluit,CA,63.7506,-68.5145,-23.31,67,20,10.36,few clouds
130,Luderitz,NA,-26.6481,15.1594,63.57,80,0,18.86,clear sky
131,Pafos,CY,34.7667,32.4167,46.18,49,75,9.22,broken clouds
132,Butaritari,KI,3.0707,172.7902,81.32,77,80,11.01,broken clouds
133,Tura,IN,25.5198,90.2201,66.24,36,0,2.3,clear sky
134,Taree,AU,-31.9,152.4667,85.06,52,0,7.52,clear sky
135,Avera,US,33.194,-82.5271,59.92,73,100,3.91,overcast clouds
136,Dehloran,IR,32.6941,47.2679,49.17,50,15,5.23,few clouds
137,Gorontalo,ID,0.5412,123.0595,87.21,59,100,2.68,overcast clouds
138,Gambela,ET,8.25,34.5833,79.57,34,27,1.34,scattered clouds
139,Lata,PT,40.1629,-8.3327,43.07,80,8,3.8,clear sky
140,Bubaque,GW,11.2833,-15.8333,74.57,76,44,9.42,scattered clouds
141,Chuy,UY,-33.6971,-53.4616,65.7,63,0,6.8,clear sky
142,Camacha,PT,33.0833,-16.3333,56.62,63,20,20.71,few clouds
